train loss | 132.9539489746 | 0 | 3.1470398902893066
train loss mss | 129.6390991211 | 0 | 3.1470398902893066
train loss f0 | 3.3148481846 | 0 | 3.1470398902893066
valid loss | 126.6781356812 | 0 | 6.478711366653442
valid loss mss | 122.6821563721 | 0 | 6.478711366653442
valid loss f0 | 3.9959806442 | 0 | 6.478711366653442
train loss | 53.4221878052 | 10 | 17.335588216781616
train loss mss | 49.0041275024 | 10 | 17.335588216781616
train loss f0 | 4.4180607796 | 10 | 17.335588216781616
train loss | 29.7081680298 | 20 | 30.017314672470093
train loss mss | 26.9401378632 | 20 | 30.017314672470093
train loss f0 | 2.7680292130 | 20 | 30.017314672470093
train loss | 23.4651718140 | 30 | 42.25203323364258
train loss mss | 20.1626529694 | 30 | 42.25203323364258
train loss f0 | 3.3025178909 | 30 | 42.25203323364258
train loss | 25.5090541840 | 40 | 53.773662090301514
train loss mss | 20.8949775696 | 40 | 53.773662090301514
train loss f0 | 4.6140761375 | 40 | 53.773662090301514
train loss | 22.1579856873 | 50 | 65.18808221817017
train loss mss | 19.2780818939 | 50 | 65.18808221817017
train loss f0 | 2.8799040318 | 50 | 65.18808221817017
train loss | 20.5604419708 | 60 | 75.78405380249023
train loss mss | 17.3294105530 | 60 | 75.78405380249023
train loss f0 | 3.2310321331 | 60 | 75.78405380249023
train loss | 25.2313137054 | 70 | 85.65792560577393
train loss mss | 20.5871715546 | 70 | 85.65792560577393
train loss f0 | 4.6441421509 | 70 | 85.65792560577393
train loss | 21.2511177063 | 80 | 96.40706825256348
train loss mss | 18.3678684235 | 80 | 96.40706825256348
train loss f0 | 2.8832485676 | 80 | 96.40706825256348
train loss | 20.2135238647 | 90 | 107.38740110397339
train loss mss | 17.0664157867 | 90 | 107.38740110397339
train loss f0 | 3.1471076012 | 90 | 107.38740110397339
train loss | 24.1795234680 | 100 | 120.33950018882751
train loss mss | 19.9478397369 | 100 | 120.33950018882751
train loss f0 | 4.2316842079 | 100 | 120.33950018882751
train loss | 20.5106773376 | 110 | 131.2035777568817
train loss mss | 18.0458316803 | 110 | 131.2035777568817
train loss f0 | 2.4648447037 | 110 | 131.2035777568817
train loss | 20.7921924591 | 120 | 142.23346161842346
train loss mss | 17.3331775665 | 120 | 142.23346161842346
train loss f0 | 3.4590156078 | 120 | 142.23346161842346
train loss | 24.6990852356 | 130 | 152.36601305007935
train loss mss | 20.2452659607 | 130 | 152.36601305007935
train loss f0 | 4.4538183212 | 130 | 152.36601305007935
train loss | 21.3146591187 | 140 | 163.11191153526306
train loss mss | 18.3299064636 | 140 | 163.11191153526306
train loss f0 | 2.9847536087 | 140 | 163.11191153526306
train loss | 20.4570407867 | 150 | 174.11432814598083
train loss mss | 16.9872684479 | 150 | 174.11432814598083
train loss f0 | 3.4697721004 | 150 | 174.11432814598083
train loss | 24.5168647766 | 160 | 184.20244789123535
train loss mss | 20.0187950134 | 160 | 184.20244789123535
train loss f0 | 4.4980688095 | 160 | 184.20244789123535
train loss | 20.6303405762 | 170 | 195.2883849143982
train loss mss | 17.9892711639 | 170 | 195.2883849143982
train loss f0 | 2.6410684586 | 170 | 195.2883849143982
train loss | 20.3410549164 | 180 | 206.43269658088684
train loss mss | 16.8350753784 | 180 | 206.43269658088684
train loss f0 | 3.5059800148 | 180 | 206.43269658088684
train loss | 24.0226669312 | 190 | 216.67950797080994
train loss mss | 19.6769466400 | 190 | 216.67950797080994
train loss f0 | 4.3457207680 | 190 | 216.67950797080994
train loss | 20.7310352325 | 200 | 227.77100014686584
train loss mss | 17.7528705597 | 200 | 227.77100014686584
train loss f0 | 2.9781649113 | 200 | 227.77100014686584
train loss | 20.3530464172 | 210 | 238.79791903495789
train loss mss | 16.8850154877 | 210 | 238.79791903495789
train loss f0 | 3.4680306911 | 210 | 238.79791903495789
train loss | 23.5486717224 | 220 | 248.97394037246704
train loss mss | 19.2022781372 | 220 | 248.97394037246704
train loss f0 | 4.3463926315 | 220 | 248.97394037246704
train loss | 20.2044258118 | 230 | 260.2851221561432
train loss mss | 17.6502094269 | 230 | 260.2851221561432
train loss f0 | 2.5542171001 | 230 | 260.2851221561432
train loss | 20.0810661316 | 240 | 271.675142288208
train loss mss | 16.6779193878 | 240 | 271.675142288208
train loss f0 | 3.4031476974 | 240 | 271.675142288208
train loss | 23.7679862976 | 250 | 281.9239065647125
train loss mss | 19.0997238159 | 250 | 281.9239065647125
train loss f0 | 4.6682615280 | 250 | 281.9239065647125
train loss | 20.7659549713 | 260 | 293.6289494037628
train loss mss | 17.9678058624 | 260 | 293.6289494037628
train loss f0 | 2.7981491089 | 260 | 293.6289494037628
train loss | 19.3088226318 | 270 | 305.6176702976227
train loss mss | 16.0429286957 | 270 | 305.6176702976227
train loss f0 | 3.2658929825 | 270 | 305.6176702976227
train loss | 21.4113693237 | 280 | 316.79018330574036
train loss mss | 17.2049999237 | 280 | 316.79018330574036
train loss f0 | 4.2063689232 | 280 | 316.79018330574036
train loss | 19.6856193542 | 290 | 329.1194829940796
train loss mss | 17.0460376740 | 290 | 329.1194829940796
train loss f0 | 2.6395814419 | 290 | 329.1194829940796
train loss | 18.8172893524 | 300 | 341.6155426502228
train loss mss | 15.4128475189 | 300 | 341.6155426502228
train loss f0 | 3.4044425488 | 300 | 341.6155426502228
train loss | 20.3499832153 | 310 | 352.9360179901123
train loss mss | 16.0147590637 | 310 | 352.9360179901123
train loss f0 | 4.3352251053 | 310 | 352.9360179901123
train loss | 18.8064441681 | 320 | 365.2186143398285
train loss mss | 16.1971759796 | 320 | 365.2186143398285
